Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	JANP	FEBP	MARP	APRP	MAYP	JUNP	JULP	AUGP	SEPP	OCTP	NOVP	DECP
1969	4.4	0.1	2.6	6.3	9.7	12.7	15.1	15	12.6	11.8	4	2.8	110.1	70.5	58.8	62.2	105.6	65.3	68.7	74	68.7	58.5	140.9	96.8
1970	3	1.8	2.9	5.5	11.3	14.7	13.4	14.7	12.9	9.5	6.3	3.7	107.3	104.1	76.9	90	40.4	52.3	95.2	91.7	95.2	109.7	170.7	61.6
1971	3.9	4.1	4.4	6.8	10.3	11.1	15.2	14.2	13.2	10.4	5.3	6	111	57	74.6	52.9	56.2	86.9	55.3	102.9	36.3	100.9	111.6	67.2
1972	3.1	3.5	5.5	7.3	9.4	10.5	14.2	13.6	10.7	9.7	5.2	4.9	114.7	79.2	75.9	85.5	86.7	89.5	56.2	51.1	35.4	47.5	123.5	116.1
1973	3.9	3.4	5.5	5.9	9.9	13.4	14.3	14.9	12.8	8.3	5.1	4	68.7	66.8	41.6	69.7	83.1	66.7	83.8	79.6	84.7	61	95.1	104.3
1974	5	4.6	4.7	7.2	9.8	12.3	13.5	13.8	10.7	6.9	5.6	6.5	169.3	109.5	51.7	14.4	53.8	63.1	85.5	89.9	141.5	93.6	144.9	135.9
1975	5.3	4	3.9	7.1	8.6	13.1	15.5	16.8	11.8	9.3	5.4	4.7	164.9	35.4	69.3	78.2	40.6	34.5	77.5	59	125.4	52.7	94.4	67.5
1976	4.5	3.8	4	7.1	10.4	15	16.5	15.8	12	9.4	5.3	1.4	109.5	60.2	75.5	34.6	81.8	37.5	43.3	23.7	137.9	159.7	96.7	91.1
1977	1.9	3.6	5.8	6	9.2	11.2	14.6	13.9	11.7	10.7	5.1	5.2	102.2	129.5	92.5	77.4	54.5	75.2	37.8	94.1	79	104.9	139.9	92.1
1978	2.3	1.4	5.5	5.4	10.5	12.3	13.3	13.7	12.6	10.8	7.3	3.3	125.1	82.8	111.5	46.5	37.9	60.5	82.7	74.5	100	52.4	111.7	154.1
1979	-0.5	0.6	3.3	6.4	8.4	12.7	14.4	13.4	11.9	10.2	5.6	4.5	93.3	52.6	140	73.3	104.4	49.4	56	103.5	72.5	99.6	133.7	166.5
1980	1.8	4.6	3.7	7.7	10	12.6	13.3	14.4	13.3	7.8	5.5	4.7	89.2	91.7	100.2	17.8	27.8	121.3	81.8	100.2	107.9	145.5	117.3	128.4
1981	3.8	2.6	6.3	6.8	10.3	12	14.1	14.9	13.2	6.9	6.5	0.1	96.3	67.8	150.3	48	87.1	64.7	64.6	44.9	168.8	154.1	123.5	86.2
1982	2.3	4.3	5.1	7.7	10.2	13.7	15.1	14.4	12.7	9.2	6.5	3.5	100.2	71.2	117.4	29.7	58.8	96.9	38.5	106.3	117.2	138.1	157.9	138
1983	5.4	1.4	5.6	5.6	8.9	12.8	17.3	16	12.2	9.2	6.7	5.1	147.2	45.6	97.4	87.2	102.5	49.3	37.5	37.3	120.1	138.4	50.4	148.7
1984	2.3	3.2	3.9	7.3	9	13.1	15.3	15.9	12.1	9.7	6.8	4.7	167.2	75.6	72.1	27.6	44.7	50.4	35.8	54.9	128.6	135	166.9	107.5
1985	0.4	2.2	3.8	7.2	9.6	11.4	14.5	13.2	12.9	10	3.1	5.2	75.3	34.5	75.5	81.4	66.8	88	102.3	152.8	97.8	58.4	97	144.4
1986	2.5	-1.2	4.3	4.8	9.8	13.3	14.2	12.2	10.4	9.7	6.7	4.8	142.9	17	108.4	82.1	114.6	47.8	65	116.4	35.2	116.1	155.6	184.1
1987	0.7	3	3.3	8.8	9	11.3	14.6	14.2	12.2	8.4	5.8	4.9	44.3	67.3	109.8	62.6	53.3	100.3	82.9	84.5	92	161	89.8	88.6
1988	4.1	3.9	5.1	7.1	10.5	13.4	13.5	13.9	12.1	9.4	5.1	6.6	166.6	88.8	123.9	50.7	56.8	36.2	145.3	112.9	91.5	116.3	64.2	79.8
1989	5.8	4.9	6	5.5	11.5	13	16.5	14.8	12.9	10.5	5.8	3.8	95.8	133.8	121.7	76.9	31	61	41	98.7	58.1	126.4	59.5	116.8
1990	5.5	5.9	7.2	7.1	11.4	12.4	15.2	16.1	11.7	10.5	5.8	3.8	166.1	187.9	92.9	57.9	34.4	90.7	47.9	70.7	81.1	140.1	77.7	127.5
1991	2.6	1.4	6.7	6.9	10	10.9	15.9	15.7	13.1	9	5.7	4.4	109.1	68.6	92.1	87.6	22	100.2	74.1	42.1	82.4	104.8	135.5	81.2
1992	3.6	4.8	6.1	7.4	12	14.4	14.6	13.8	11.9	6.7	6.1	3.2	77.4	87.5	125	88	57.3	38.6	84.2	157.3	115.5	94.5	158.5	105
1993	4.7	4.7	5.6	8.2	10	13.4	13.7	13.1	11.2	7.3	4.1	3.9	171.2	32.6	57.8	99.2	95.8	67	91.8	60.3	97.5	91.9	72.4	184.8
1994	4	2.4	5.9	6.8	9.3	12.7	16	14.3	11.4	9	8.8	5.4	151.5	86.5	142.5	90.7	48.6	60.6	52.8	79.8	101.1	96.9	105.7	169.6
1995	3.5	4.9	4.2	7.6	10.2	12.9	16.6	17.3	12.4	11.6	6.9	1.7	176.6	138.9	92.3	39.1	57.9	29	56.2	17.8	132	115.3	97.9	72.1
1996	3.9	2	3.7	7.4	8	12.9	14.7	15.1	12.6	10.3	4.7	2.5	73.5	99.8	48.2	70.6	64.1	41.5	53.8	76.5	43.9	134.7	145.4	65.9
1997	2.2	5.2	7.1	7.9	10.2	12.6	15.3	17.1	12.7	9.2	7.7	5.2	29	163.7	65.5	41.9	85	112.6	62.3	81.5	60.7	71.7	120.8	130.8
1998	4.3	6.8	6.7	6.6	11.5	12.6	14	14.4	13.4	9	5.2	4.9	131	79.8	103.5	116.6	40.4	118.8	90.1	76.8	90.9	183.5	116.2	119.5
1999	4.5	4.2	6.2	8.3	11.4	12.4	15.9	14.8	14.2	9.8	6.8	3.6	160.3	81.2	87.1	85.9	73.6	90.8	44.9	89.6	137.1	91.7	106.7	190.3
2000	4.3	5	6.5	6.7	10.8	13.1	14.1	15.2	13.4	9.2	5.8	4.6	99.7	127.7	66.5	120.3	75.7	56.8	57.5	82.6	130.4	194.8	172.7	152.6
2001	2.6	3.4	4.1	6.7	11.4	12.6	15.3	15.2	12.3	12.2	6.8	3.1	79.4	97.1	85.7	89.6	43.3	58.2	81.8	96.9	89.1	165.8	95.5	70.4
2002	5	5.5	6.5	8.2	10.8	13.2	14.4	15.6	13.2	8.7	7.5	4.8	135.1	175.6	75.7	68.2	101.7	86.9	98.5	73.9	40.9	154.3	163.8	109.2
2003	3.7	3.4	6.7	8.9	10.7	14.6	16.2	16.5	13.1	8.2	7.4	4.3	114.6	48.6	54	50.6	98	71.1	78.2	27.1	54.3	64.5	121	122.2
2004	4.4	4.4	5.7	8.5	11.1	14	14.4	16.1	13.4	9.4	7.1	5	152.2	74.5	70.4	93.1	51.1	85	70.7	159.8	103.9	165.8	75.4	111.6
2005	5.3	3.7	6.4	7.9	10	14.1	15.3	14.9	13.8	11.7	5.6	4.2	127.6	70.3	73.3	91.2	72.9	72	59.6	85.6	93.1	142.8	116.9	81
2006	3.9	3.5	3.9	7.4	10.7	14.5	17.8	15	15.2	11.7	7.2	5.5	60.1	65.3	110.9	67.8	112.5	42.4	53.5	92.5	102.7	143.8	154	173.7
2007	5.9	5.2	6.3	10.2	10.7	13.7	14.3	14.4	12.6	10.3	6.9	4.4	153.8	110.4	88.9	27	114.1	136.2	135.2	86.5	67.1	65.2	101.5	114.4
2008	5.3	4.9	5.1	7.1	12.2	12.9	15.3	15.1	12.5	8.7	6.2	3.1	189.6	82.3	122.5	76.2	47.9	78.5	108.1	133.6	106.3	155.7	106.4	87.9
2009	2.8	3.7	6.1	8.9	10.9	13.7	15.2	15.4	13.2	10.4	7.3	2.1	119.8	60.3	79.5	60.2	82	62.1	145.6	115.3	64.2	107.8	215.7	100.9
2010	0.9	1.9	5.1	8	9.8	14.2	15.6	14.2	12.8	9.4	4.3	-0.9	79.7	74.8	79.4	48	39	38.6	107.6	97.6	114	101.1	123.2	47.5
2011	3.1	5.3	5.8	10.7	11	12.7	14.2	14.1	13.8	11.3	8.7	4.8	102.8	114.5	49.7	36.7	101.8	85.1	76.1	105.8	108.5	122.8	100.6	168.1
